,name,old_product_price,new_product_price_after,new_product_price_before,Kích thước màn hình,Công nghệ màn hình,Tính năng màn hình,Tần số quét,Kiểu màn hình,Camera sau,Quay video,Tính năng camera,Camera trước,Quay video trước,Chipset,Loại CPU,GPU,Dung lượng RAM,Bộ nhớ trong,Khe cắm thẻ nhớ,Pin,Công nghệ sạc,Cổng sạc,Thẻ SIM,Hệ điều hành,Hồng ngoại,Jack tai nghe 3.5,Công nghệ NFC,Hỗ trợ mạng,Wi-Fi,Bluetooth,GPS,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,"Chỉ số kháng nước, bụi",Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Thời điểm ra mắt,Độ phân giải màn hình,Công nghệ - Tiện ích,Loại màn hình,Hệ thống làm mát,Cảm biến,Tương thích
22,iPhone 15 Pro Max 256GB | Chính hãng VN/A,"31.590.000đ
Khi thu cũ lên đời",33.590.000đ,34.990.000đ,6.7 inches,Super Retina XDR OLED,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",120Hz,Dynamic Island,"Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 5x: 12 MP, 120 mm, ƒ/2.8
Camera Tele 2x: 12 MP, 48 mm, ƒ/1.78","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps
HD 720p@30 fps","Flash True Tone Thích Ứng
Photonic Engine
Deep Fusion
HDR thông minh thế hệ 5
Ảnh chân dung thế hệ mới với Focus và Depth Control
Hiệu ứng Chiếu Sáng Chân Dung với sáu chế độ
Chế độ Ban Đêm","12MP, ƒ/1.9","4K@24/25/30/60 fps
HD 1080p@25/30/60 fps",A17 Pro,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,GPU 6 nhân mới,8 GB,256 GB,Không,4422 mAh,"Sạc nhanh
Sạc không dây 15W
Sạc không dây Qi 7.5W",USB Type-C,2 SIM (nano‑SIM và eSIM),iOS 17,Có,Không,Có,5G,Wi‑Fi 6E (802.11ax),5.3,"GPS tần số kép chính xác (GPS, GLONASS, Galileo, QZSS, BeiDou và NavIC)","159,9 x 76,7 x 8,25 mm",221 g,Kính,Titanium,Đạt mức IP68 (chống nước ở độ sâu tối đa 6 mét trong vòng tối đa 30 phút),"SOS Khẩn Cấp
Phát Hiện Va Chạm","AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus và Dolby Atmos",Không,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực","Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi",9/2023,2796 x 1290-pixel,Camera TrueDepth hỗ trợ nhận diện khuôn mặt,,,,
23,Black Shark 5S Pro,,,,6.66 inches,AMOLED,,,,"13 MP, 2 MP, 64 MP","4K@30/60fps, 1080p@30/60/240fps, 1080p@960fps","HDR, Toàn cảnh, Lấy nét tự động, LED flash, Xóa phông",16 MP,1080p@30fps,Qualcomm Snapdragon 870 5G,1×3.2 GHz Kryo 585 & 3×2.42 GHz Kryo 585 & 4×1.80 GHz Kryo 585,Adreno 650,8 GB,128 GB,,4650mAh,Sạc nhanh 120W,USB Type-C,Nano-SIM,Android 12,Không,,,,802.11,v5.2,Có,163.8 x 76.3 x 10 mm,218 g,,,,,,,,,,1080 x 2400 pixels (FullHD+),,,,,
24,OPPO Reno11 Pro,,,,6.7 inches,OLED,Tần số quét 120Hz,,,"Camera chính: 50MP với OIS
Camera siêu rộng: 8MP
Camera ống kính tele: 32MP",,,32MP,,Snapdragon 8+ Gen 1,,,8 GB,256 GB,,"4,700 mAh",Sạc nhanh 80W,,,Android 13,,,,,,,,Máy mỏng 8.19 - 8.26mm,190 g,,,,,,,,,,1080 x 2400 pixels (FullHD+),,,,,
25,Vivo Y73,,,,5.99 inches,IPS LCD,,,,13 MP,,,5 MP,,Snapdragon 439,,Adreno 505,3 GB,32 GB,"MicroSD, hỗ trợ tối đa 256 GB",3360 mAh,,Micro-USB,2 SIM (Nano-SIM),Android,,Có,,4G,Wi-Fi 802.11 a/b/g/n,v4.2,A-GPS,,,Nhựa,Nhựa,,,,Cảm biến vân tay mặt lưng,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn",,,720 x 1440 pixels,,,,,
26,OPPO A16e,,,,6.52 inches,,Corning glass 3 (GG3),,,13 MP,"1080P@30 fps, 720P@30 fps",,"5 MP, f/2.4, FOV 76°",,MediaTek MT6762 8 nhân (Helio P22),,,3 GB,16 GB,,4100 mAh,,,2 SIM (Nano-SIM),Android 11,,Có,,4G,"Wi-Fi 2.4 GHz, Wi-Fi 5 GHz, Wi-Fi Displa",5.0,"SBC, AAC, aptX, LDAC",164 x 75.4 x 7.8 mm,175g,,,,,,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển",,,,,,,,
27,Realme C15s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nokia X30 5G,,,,,,,,Giọt nước,48 MP + 5 MP + 2 MP + 2 MP,,,,,Snapdragon 460,,,4 GB,64 GB,,5.850 mAh,sạc nhanh 22 W,,,,,,,5G,,,,,,,,,,,Cảm biến vân tay cạnh bên,,Bảo mật vân tay,,,,,,,
29,OPPO Reno 7 Pro,"10.690.000đ
Khi thu cũ lên đời",11.190.000đ,18.990.000đ,6.5 inches,AMOLED,"Tần số quét 90 Hz, Độ sáng tối đa: 920 nits, Kính cường lực Corning Gorilla Glass 5",90Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 50MP (IMX766)
Camera góc siêu rộng: 8MP (IMX355)
Camera macro: 2MP (OmniVision OV02B10)","FullHD 1080p@30fps
HD 720p@240fps
HD 720p@30fps
FullHD 1080p@60fps
HD 720p@60fps
FullHD 1080p@120fps
4K 2160p@30fps","Trôi nhanh thời gian
Quay chậm
Chống rung điện tử kỹ thuật số (EIS)
Toàn cảnh
Làm đẹp
Google Lens
Xóa phông
Ban đêm (Night Mode)
Chuyên nghiệp (Pro)
HDR
Lấy nét theo pha (PDAF)
Siêu cận (Macro)
Quay video hiển thị kép","32 MP, f/2.4","1080p@30fps, gyro-EIS",MediaTek Dimensity 1200 Max 8 nhân,Octa-core 3.0 GHz,Mali-G77 MC9,12 GB,256 GB,Không,4500 mAh,Sạc siêu nhanh SuperVOOC 2.0 65W (sạc tối đa và sạc theo máy),USB Type-C,2 SIM (Nano-SIM),"Android 11, ColorOS 12",,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","5.2, A2DP, LE, aptX HD","A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC",158.2 x 73.2 x 7.45 mm,180 g,Kính,,,"Cử chỉ thông minh
Ứng dụng kép (Nhân bản ứng dụng)
Cử chỉ màn hình tắt",,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt",4/2022,1080 x 2400 pixels (FullHD+),,,,,
30,OPPO Reno7 5G (8GB 256GB),"7.090.000đ
Khi thu cũ lên đời",7.590.000đ,12.990.000đ,6.43 inches,AMOLED,"90Hz, 430 nits (typ), 600 nits (HDR), Corning Gorilla Glass 5, HDR10+, 16.7 triệu màu",,,"Camera chính: 64 MP, f/1.7, PDAF
Camera góc siêu rộng: 8 MP, f/2.25, 120˚
Camera macro: 2 MP, f/2.4","4K@30fps, 1080p@30/60/120fps, gyro-EIS","AI Camera
Chuyên nghiệp (Pro)
HDR
Toàn cảnh (Panorama)
Ban đêm (Night Mode)
Siêu độ phân giải
Nhãn dán (AR Stickers)
Làm đẹp
Siêu cận (Macro)",32MP f/2.4,"1080p@30fps, gyro-EIS",MediaTek Dimensity 900,4x2.4 GHz Kryo 670 & 4x1.9 GHz Kryo 670,ARM Mali-G68 MC4,8 GB,256 GB,"MicroSD, hỗ trợ tối đa 1 TB",Li-Po 4500 mAh,Sạc nhanh 65W,USB Type-C,2 SIM (Nano-SIM),"Android 11, ColorOS 12",,Có,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",v5.1,"A-GPS, GLONASS, BDS, GALILEO, QZSS",173 g,160.6 x 73.2 x 7.81 mm,,Nhựa,,"Cử chỉ thông minh
Ứng dụng kép (Nhân bản ứng dụng)
Cử chỉ màn hình tắt
Mở rộng bộ nhớ RAM",,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển",,4/2022,1080 x 2400 pixels (FullHD+),,,,,
31,OPPO Reno7 4G (8GB - 128GB),"5.500.000đ
Khi thu cũ lên đời",6.000.000đ,7.990.000đ,6.43 inches,AMOLED,"16,7 triệu màu, 409PPI, 90Hz",,,"Camera chính: 64MP, f/1.7; FOV 79°; ống kính 6P; AF
Microscope: 2MP, f/3.3
Đơn sắc: 2MP, f/2.4","1080P@30 fps, 720P@30 fps, 1080P@30 fps, 720P@120 fps","Ban đêm, Ảnh, Video, Chuyên gia, Toàn cảnh, Chân dung, Tua nhanh thời gian, Chuyển động chậm, Máy quét văn bản, Google Lens, Extra HD, Macro, Hình dán","32MP, f/2.4; FOV 85°","1080P@30 fps, 720P@30 fps",Snapdragon™ 680,"8 cores, up to 2.4 GHz",Adreno 610 @ 1100MHz,8 GB,128 GB,"MicroSD, hỗ trợ tối đa 1 TB",4500 mAh,Sạc nhanh 33W SUPERVOOCTM,USB Type-C,2 SIM (Nano-SIM),"Android 11, ColorOS 12",,Có,Có,4G,"Wi-Fi 5 (802.11ac), 802.11a/b/g/n/;",v5.1，BLE,"A-GPS, BeiDou, GLONASS, Galileo, and QZSS",159.9 x 73.2 x 7.5 mm,175g,,Nhựa,,"Cử chỉ thông minh
Ứng dụng kép (Nhân bản ứng dụng)
Cử chỉ màn hình tắt
Mở rộng bộ nhớ RAM",,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển",,4/2022,1080 x 2400 pixels (FullHD+),,,,,
32,OnePlus Nord N30,,,,6.72 inches,IPS LCD,"Tốc độ làm mới 120 Hz, 550 nits, Corning Gorilla Glass",,,"Camera góc rộng: 108 MP, f/1.8, 1/1.67"", 0.64µm, PDAF
Camera macro: 2 MP, f/2.4
Camera đo đậu sâu: 2 MP, f/2.4",1080p@30fps,"LED flash, HDR, panorama","Camera góc rộng: 16 MP, f/2.4, 1.0µm",1080p@30fps,Snapdragon 695 5G (6 nm),2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver,Adreno 619,8 GB,128 GB,microSDXC,5.000 mAh,Sạc nhanh 40W,USB Type-C,Nano-SIM,Android 13,Không,,Có,5G,802.11 a/b/g/n/ac,"v5.1, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",165.5 x 76 x 8.3 mm,,Nhựa,Nhựa,,,Loa âm thanh nổi,,,,,1080 x 2400 pixels (FullHD+),,Màn hình,,,
33,realme C30s 3GB 64GB,"1.690.000đ
Khi thu cũ lên đời",2.190.000đ,2.690.000đ,6.5 inches,IPS LCD,"60Hz, độ sáng tối đa 400 nits, 16,7 triệu màu",60Hz,Giọt nước,8MP,"1080P/30fps, 720P/30fps, 480P/30fp","Làm đẹp, Bộ lọc, HDR, Góc nhìn toàn cảnh, Chân dung, Tua nhanh thời gian, Siêu chụp đêm, Chuyên gia",5MP,,Unisoc SC9863A1,"ARM Cortex-A55, lên đến 1.6GHz",GE8322,3 GB,64 GB,"Có, hỗ trợ tối đa Micro 1TB",5000mAh,Sạc thường với công suất 10W,Micro-USB,2 SIM (Nano-SIM),realme UI Go Edition trên nền tảng Android 12,,Có,,4G,2.4GHz,4.2,,164.2 x 75.7 x 8.5mm,186 gram,Nhựa,,,,,Cảm biến vân tay cạnh bên,,"Bảo mật vân tay, Nhận diện khuôn mặt",,720 x 1600 pixel,,,,,
34,realme C30s 2GB 32GB,"1.190.000đ
Khi thu cũ lên đời",1.690.000đ,2.490.000đ,6.5 inches,IPS LCD,"60Hz, độ sáng tối đa 400 nits, 16,7 triệu màu",60Hz,Giọt nước,8MP,"Hỗ trợ quay phim 1080P/30fps
Hỗ trợ quay phim 720P/30fps
Hỗ trợ quay phim 480P/30fps","Làm đẹp, Bộ lọc, HDR, Góc nhìn toàn cảnh, Chân dung, Tua nhanh thời gian, Siêu chụp đêm, Chuyên gia",5MP,"Hỗ trợ quay phim 720P/30fps
Hỗ trợ quay phim 480P/30fps",Unisoc SC9863A1,"ARM Cortex-A55, lên đến 1.6GHz",GE8322,2 GB,32 GB,"MicroSD, hỗ trợ tối đa 1 TB",5000mAh,"Sạc thường với công suất 10W, Siêu tiết kiệm pin",Micro-USB,2 SIM (Nano-SIM),realme UI Go Edition trên nền tảng Android 12,Không,Có,Không,4G,2.4GHz,4.2,"GLONASS, GPS",164.2 x 75.7 x 8.5mm,186 gram,Nhựa,Kim loại,Không,,Công nghệ Dirac 3.0,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng","Bảo mật vân tay, Nhận diện khuôn mặt",09/2022,720 x 1600 pixel,,,Không,,
35,Samsung Galaxy A42 5G,,,,6.7 inches,"Super AMOLED capacitive touchscreen, 16M colors",,,,"48 MP, f/2.0, (wide)
8 MP, f/2.2, (ultrawide)
5 MP, f/2.2, (depth)","Trước: 1080p@30fps
Sau: 4K@30fps, 1080p@30/60fps (gyro-EIS), 720p@960fps",,"32 MP, f/2.0, (wide)",,Qualcomm Snapdragon 765G - 7 nm,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 620,6 GB,128 GB,,"4500 mAh non-removable, Fast charging 25W",,,2 SIM (Nano-SIM),,,,,,,,,164.8 x 76.4 x 8.4 mm,206 g,,,,,,,,,,1080 x 2400 pixels (FullHD+),,,,"Cảm biến vân tay, cảm biến gia tốc, cảm biến tiệm cận, cảm biến sáng, con quay hồi chuyển, la bàn",
36,OPPO Reno8 T 4G 256GB,"6.490.000đ
Khi thu cũ lên đời",6.990.000đ,8.490.000đ,6.4 inches,AMOLED,"16 triệu màu, 90Hz, Kính cường lực GG5",,,100MP (Chính) + 2MP (Kính hiển vi) + 2MP (Mono),,,32MP,,"Helio G99, tối đa 2.2GHz",,Mali-G57 MC2@1.0GHz,8 GB,256 GB,Hỗ trợ thẻ nhớ tối đa 2TB,5000mAh (Typ),Siêu sạc nhanh superVOOC 33W,USB Type-C,2 SIM (Nano-SIM),"ColorOS 13, nền tảng Android 13",,Có,,4G,"Wifi 2.4G/5G, 802.11 a/b/g/n/ac",5.3,Có,"Cam: 160.8 x 73.8 x 7.85 mm
Đen: 160.8 x 73.8 x 7.8 mm""","Cam: Khoảng 182.5g (Bao gồm pin)
Đen: Khoảng 179.5g (Bao gồm pin)",,,IP54,Loa kép,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn",,,1080 x 2400 pixels (FullHD+),,,,,
37,OPPO K11x,,,,6.72 inches,IPS LCD,"Tần số quét 120Hz, 550 nits, 391 PPI, 16,7 triệu màu
Corning Gorilla Glass",,,"Camera góc rộng: 108 MP, f/1.8, 24mm, 1/1.67"", 0.64µm, PDAF
Camera đo độ sâu: 2 MP, f/2.4",1080p@30fps,"LED flash, HDR, panorama","Camera góc rộng: 16 MP, f/2.4, 1.0µm",1080p@30fps,Snapdragon 695 5G (6 nm),2x2.2 GHz Kryo 660 Gold & 6x1.7 GHz Kryo 660 Silver,Adreno 619,8 GB,128 GB,microSDXC,5000 mAh,Sạc nhanh 67W,USB Type-C,2 SIM (Nano-SIM),Android 13,Không,Có,Không,5G,802.11 a/b/g/n/ac,"v5.1, A2DP, LE, aptX HD","GPS, GALILEO, GLONASS, BDS, QZSS",165.5 x 76 x 8.3 mm,195 g,Nhựa,Nhựa,,,Loa âm thanh nổi,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,05/2023,1080 x 2400 pixels (FullHD+),,Màn hình,,,
38,vivo Y78+,,,,,,,,,,,,,,,,,4 GB,128 GB,,4.900 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Samsung Galaxy A13 6GB 128GB,,,,6.6 inches,IPS LCD,"Tần số quét 60 Hz, Kính cường lực Corning Gorilla Glass 5",90Hz,Giọt nước,50MP + 5MP + 2MP + 2MP,1080p@30fps,"Ban đêm
Bộ lọc màu
Góc rộng
Góc siêu rộng
HDR
Làm đẹp
Lấy nét theo pha (PDAF)
Quay chậm
Quay Siêu chậm
Siêu cận (Macro)
Toàn cảnh (Panorama)
Trôi nhanh thời gian
Xóa phông",8MP,1080p@30fps,Exynos 850 8 nhân,2.0 GHz,Mali-G52,6 GB,128 GB,microSDXC (khe cắm chuyên dụng),Li-Po 5000 mAh,Sạc nhanh 15W,USB Type-C,Nano-SIM,Android 12,,Có,,4G,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","A-GPS, GLONASS, GALILEO",164.5 x 76.5 x 8.8 mm,195 g,Nhựa,Nhựa,,,,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay",,720 x 1600 pixel,,,,,
40,Redmi K50 Gaming Edition,,,,6.67 inches,OLED,"1 tỷ màu, 120Hz, HDR10+, 800 nits (HBM)
Corning Gorilla Glass Victus",,,"Camera góc rộng: 64 MP, f/1.9, 26mm, 1/1.73"", 0.8µm, PDAF
Camera góc siêu rộng:8 MP, f/2.2, 120˚
Camera macro: 2 MP, f/2.4","4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, HDR","Đèn flash LED kép, HDR, toàn cảnh","Camera góc rộng: 20 MP, f/2.4, 1/2.0"", 0.8µm","1080p@30/60fps, 720p@120fps, HDR",Qualcomm SM8450 Snapdragon 8 Gen 1 (4 nm),1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Adreno 730,8 GB,128 GB,Không,4700 mAh,"Sạc có dây 120W , PD3.0, QC3",USB Type-C,2 SIM (Nano-SIM),"MIUI 13, Android 12.",Có,Không,Có,5G,802.11 a/b/g/n/ac/6e,"v5.2, A2DP, LÊ","GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","162,5 x 76,7 x 8,5 mm",210 g,Kính,Nhôm,,,"4 loa
loa âm thanh nổi",Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,02/2022,1080 x 2400 pixels (FullHD+),,,,,
41,Samsung Galaxy A03 (3GB - 32GB),,,,6.5 inches,PLS LCD,"Tần số quét 60 Hz, 400 nits, Mặt kính cong 2.5D",60Hz,Giọt nước,"Camera chính: 48MP, F/1.8
Camera cảm biến độ sâu: 2MP, F/2.4",FullHD 1080p@30fps,"Chạm lấy nét
HDR
Làm đẹp
Lấy nét theo pha (PDAF)
Nhận diện khuôn mặt
Toàn cảnh (Panorama)
Tự động lấy nét (AF)
Xóa phông
Zoom kỹ thuật số",5MP f/2.2,,Unisoc T606,8 nhân 1.6 GHz,Mali-G57,3 GB,32 GB,"MicroSD, hỗ trợ tối đa 1 TB",5000mAh,Hỗ trợ sạc tối đa: 7.8 W,USB Type-C,2 SIM (Nano-SIM),Android 11,,Có,Không,4G,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","5.1, A2DP, LE",GLONASS GPS GALILEO BEIDOU,164.2 x 75.9 x 9.1 mm,196 g,Nhựa,Nhựa,,,Âm thanh Dolby Atmos,,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng","Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",01/2022,720 x 1600 pixel,,,,,
42,vivo V29E 8GB 256GB,,,,6.67 inches,AMOLED,"Tốc độ làm mới 120 Hz, độ sáng 1150 nits
Gam màu 100% DCI-P3
Độ bão hòa 107% NTSC
Mật độ điểm ảnh 394 ppi",,,"Camera chính: 64MP, f/1.79, OIS
Camera góc siêu rộng: 8MP, f/2.2",,"Cảnh Đêm, Chân Dung, Quay Video, Phim Ngắn, Độ Phân Giải Cao, Toàn Cảnh, Căn Chỉnh Tài Liệu, Chuyển Động Chậm, Tua Nhanh, Siêu Trăng, Chuyên Nghiệp, Phơi Sáng Kép, Video Hiển Thị Kép, Live Photo 4","50 MP, f/2.0, AF",,Qualcomm Snapdragon 695,2*2.2GHz+6*1.8GHz,,8 GB,256 GB,,4800 mAh,Sạc nhanh 44 W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Không,Không,5G,2.4GHz /5GHz,v5.1,"QZSS, GPS, BeiDou, GLONASS, Galileo",162.35 × 74.85 × 7.69 mm,190g,Kính,,IP54,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực",,,1080 x 2400 pixels (FullHD+),,,,,
43,OPPO Find X5 Pro,,,,6.7 inches,AMOLED,"120 Hz, QHD+(3216 × 1440), 1,07 tỉ màu, Corning® Gorilla® Glass Victus™",,,"Camera chính: 50MP, f/1.7
Camera góc rộng: 50MP, f/2.2; FOV 112°
Camera tele: 13MP, f/2.4",,,"32MP, f/2.4; FOV 90",,Qualcomm® Snapdragon® 8 Gen 1,,Adreno™ 730 @818MHz,12 GB,256 GB,,"5,000 mAh",Sạc siêu nhanh 88W,USB Type-C,2 SIM (Nano-SIM),"ColorOS 12.1, Android 12",,Không,,5G,Wi-Fi 6 (802.11ax),5.2,,163.7 x 73.9 x 8.5 mm,218 g,,,,,,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế",,,,,,,,
44,OnePlus Nord 3 5G 16GB 256GB,,,,6.74 inches,AMOLED,"Tần số quét 120Hz, HDR10+
Corning Gorilla Glass 5",120Hz,Đục lỗ (Nốt ruồi),"Camera góc rộng: 50 MP, f/1.9, PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.3, 120˚
Camera cận cảnh: 2 MP, f/2.4","4K@30/60 fps, 1080p@30/60 fps, 720p@30/60 fps","Zoom 0.6x - 20x, Cải thiện cảnh AI, Video nổi bật AI, Chế độ phim, Chế độ siêu ổn định, Video hai chế độ xem, HDR, Cảnh đêm, Chế độ chân dung, Chân dung video, Pano, Macro, Chuyển động chậm, Tua nhanh thời gian, Máy quét văn bản, Chỉnh sửa, Bộ lọc","16 MP, f/2.5","1080p@30fps, gyro-EIS",Mediatek MT6983 Dimensity 9000 (4 nm),,Mali G710 MC10,16 GB,256 GB,,5000mAh,Sạc nhanh 80W,USB Type-C,2 SIM (Nano-SIM),Android 13,,Không,Có,5G,"2×2 MIMO, 2.4G/5.1G/5.8G, Wi-Fi 6(802.11ax), Wi-Fi 5(802.11ac), 802.11a/b/g/n/",v5.3,"GPS, BDS, GLONASS, GALILEO, QZSS",162.6mm x 75.1mm x 8.1mm,193.5g,Kính,Nhựa,,,"Loa âm thanh nổi kép
Hỗ trợ khử tiếng ồn
Dolby Atmos®",Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt",,1240 x 2772 pixels,,,,,
45,Huawei Y6S 2019,,,,6.1 inches,,,,,,,,,,,,,,32 GB,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,Cảm biến vân tay,
46,Xiaomi 13 8GB 256GB,"17.590.000đ
Khi thu cũ lên đời",18.090.000đ,22.990.000đ,6.36 inches,AMOLED,"Tốc độ lấy mẫu cảm ứng: lên tới 240Hz, Độ sáng: HBM 1200 nits (typ), độ sáng tối đa 1900 nits, HDR
Tầm nhìn Dolby® HDR10+, Gam màu: DCI-P3",120Hz,Đục lỗ (Nốt ruồi),"Camera chính: 50MP, f/1.8, HyperOIS
Camera tele của Leica: 10MP, f/2.0, OIS
Camera góc siêu rộng Leica: 12MP, f/2.2,","8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS","Hai phong cách chụp ảnh (Leica Authentic Look, Leica Vibrant Look)
Hình ảnh chân thực của Leica
Vẻ ngoài rực rỡ của Leica
bộ lọc Leica
Âm thanh màn trập cổ điển của Leica
Hình mờ Leica
Chế độ ban đêm (rộng/siêu rộng/tele)","Camera selfie trong màn hình 32MP, f/2.0",,Chip Snapdragon® 8 thế hệ thứ 2,Quy trình sản xuất 4nm tiết kiệm năng lượng,GPU Qualcomm® Adreno™,8 GB,256 GB,Không,Pin 4500mAh,"Sạc nhanh 67W, sạc không dây 50W, sạc ngược không dây 10W",USB Type-C,2 SIM (Nano-SIM),"MIUI 14, Android 13",Có,Không,Có,5G,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct",Bluetooth 5.3,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)","152,8 x 71,5 x 7,98mm",189g,Kính,Nhôm,IP68,"Loa kép Dolby Atmos®, Hai SIM (nano SIM + nano SIM hoặc nano SIM + eSIM), Mở khóa bằng khuôn mặt AI, Công nghệ LiquidCool (VC siêu lớn + Tấm than chì nhiều lớp)",,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển","Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt",,1080 x 2400 pixels (FullHD+),,,,,
